czo,w_lon,s_lat,e_lon,n_lat
Boulder,-105.700648,39.847222,-105.002685,40.158241
Calhoun,-81.782834,34.544231,-81.649356,34.662333
Catalina-Jemez,-110.847624,32.414320,-106.389630,36.018774
Christina,-76.3,39.4,-75.0,40.16
Eel,-124.3490,39.2406,-122.6680,40.7263
IML,-97.363941,39.611674,-88.142584,46.352885
Luquillo,-65.861106,18.187889,-65.669475,18.410405
Reynolds,-116.859446,43.060888,-116.688138,43.312983
Shale Hills,-78.073333,40.589444,-77.846759,40.731944
Southern Sierra,-120.061087,36.172095,-118.333915,37.739566
